test,instruction_type,instruction,name,ade1s,ade2s,ade3s,ade
10,s,Turn right and then continue going straight. Merge onto the left lane once the trucks clear up.,10,1.089221339631396,5.0159692341965965,4.9334949385488605,3.679561837458951
11,ds,Avoid the vehicle and obstructions in front of you by getting onto the middle of the road. Drive slowly and go back to the original lane once obstructions clear.,11,1.0883207951520346,3.1766714705908905,3.654387898981101,2.639793388241342
11,s,Drive around the road obstruction,11,0.9684674929782292,3.0655807998208555,3.441830654710759,2.491959649169948
11,s,Turn and split the lanes in order to avoid the trucks. Get back onto our side once the construction clears up.,11,1.164136131617369,3.2902556337693,3.854743284739308,2.7697116833753257
11,s,turn left then go around the parked cars,11,1.245156015958264,3.455925863735248,4.083385263148331,2.928155714280615
12,d,Slow down when the  orange bus turns into your lane.,12,0.7418376267613461,4.877501933248787,4.917470429319151,3.512269996443095
12,,Continue going straight.,4,0.5653319930030102,4.241467427650419,4.264691565853871,3.0238303288357664
13,,Continue going on the same lane,13,0.4188777401104114,3.610286023685688,3.6920406547852087,2.573734806193769
13,d,Follow yellow bus.,13,0.4535768754784249,3.654449511149033,3.756504627922658,2.621510338183372
13,d,Follow the orange bus.,13,0.4925265694712147,3.6549020397459175,3.824900606549812,2.6574430719223145
14,,Continue going on the same lane,13,0.4188777401104114,3.610286023685688,3.6920406547852087,2.573734806193769
14,d,continue straight when vehicle in front starts continuing straight,14,2.203688749611502,4.5140521192982,6.155772245385294,4.291171038098333
14,d,Follow the orange bus.,13,0.4925265694712147,3.6549020397459175,3.824900606549812,2.6574430719223145
14,d,follow the orange bus,14,1.9836345543452023,4.282039375673596,5.765613274343661,4.01042906812082
14,d,Follow yellow bus.,13,0.4535768754784249,3.654449511149033,3.756504627922658,2.621510338183372
15,,Continue going on the same lane,13,0.4188777401104114,3.610286023685688,3.6920406547852087,2.573734806193769
15,d,Follow yellow bus.,13,0.4535768754784249,3.654449511149033,3.756504627922658,2.621510338183372
15,d,Follow the orange bus.,13,0.4925265694712147,3.6549020397459175,3.824900606549812,2.6574430719223145
16,s,Turn left and then continue going straight. Move on to the other lane when the FedEx truck is blocking our lane.,16,1.4149869828020103,4.198053719959669,4.84582838739521,3.4862896967189627
16,s,"Turn left, switch to the right lane when you see the stationary white truck",16,1.7789762331910572,4.73665651661223,5.691305959261892,4.068979569688394
16,s,"turn left , Drive around the road obstruction",16,1.4359781282623998,4.4331484271656905,5.154155892772379,3.6744274827334897
16,s,turn left and move around the parked vehicles,16,1.5722247171100705,4.429122187533496,5.1939493805883625,3.731765428410643
17,s,slide into the left turning lane and then stop at the zebra crossing,17,1.6765573082140672,2.94835613149788,3.466298041568604,2.6970704937601835
17,sd,Continue going straight and then change lanes to take a left. Wait for people to finish crossing,17,1.807704052372695,2.4766032720968663,2.962823390107924,2.415710238192496
17,d,"switch lanes to the left lane, stop for incoming pedestrians",17,2.072066974157992,2.638085391203932,3.24736606748514,2.6525061442823543
17,d,Stop when the people are crossing the road,17,1.8387038265826845,2.3919448989158303,2.85797942859958,2.362876051366032
17,s,Switch to the left lane when it appears,17,1.8209076974406424,2.352679825686568,2.8401196663353376,2.337902396487516
18,,"Turn left, then turn left again when you can",18,1.0453346219237485,2.2002657117052804,2.930086911754527,2.058562415127852
18,s,"make a left turn and drive aroudn road obstructions, turn left",18,1.0926488725222467,2.2901152715025,3.0593759045146944,2.1473800161798136
18,s,complete the left turn then enter the building horshoe,18,1.066434957259284,2.2433152100238485,2.9376480251162267,2.08246606413312
18,s,Merge on to the lane in front and then take the left turn.,18,1.0738120617119171,2.2461171618233817,2.959905786090179,2.0932783365418257
19,sd,"turn left, make another left turn. ",19,0.8682715240369243,1.9511043873858165,2.5210499123090493,1.78014194124393
19,sd,Take a left turn and then continue going straight. Watch out for people crossing. Start moving to the left.,19,0.8805726351481304,1.866848330099253,2.378762148457922,1.7087277045684353
19,,Turn left,19,1.0753232612568933,2.1649460560844465,2.825992638819854,2.022087318720398
19,d,Stop when you see the group of people at the stopwalk,19,0.9730817424739312,1.925435831383384,2.497176222543096,1.7985645988001366
19,,turn left,2,1.8057551074283016,4.234020381573412,5.393727931801111,3.811167806934275
20,,Turn right into the road when traffic is clear,20,1.4814088712209383,3.0185557244371903,4.290264152572584,2.930076249410237
20,s,turn right at the intersection when it is safe,20,1.6138011453287,3.143701661236825,4.495643305988366,3.084382037517964
20,d,Wait for the black car to pass and then go straight and take a right. Then continue going straight.,20,1.506443484446207,3.0370520665629286,4.332768741856177,2.9587547642884373
20,d,Turn to the right once the car has passed through,20,1.3946188306180778,2.940153145408372,4.182717305304083,2.8391630937768446
21,s,turn right at the intersection when it is safe,20,1.6138011453287,3.143701661236825,4.495643305988366,3.084382037517964
21,d,Turn right once the car has passed through the intersection,21,0.5712541696646402,1.0124968671484216,1.3271553796019857,0.9703021388050158
21,d,Turn right into the road when traffic is clear,20,1.4814088712209383,3.0185557244371903,4.290264152572584,2.930076249410237
21,d,Wait for the cars to pass and the people to cross. Then move slowly and take a right turn.,21,0.5802320129447782,1.009586988504158,1.3196510435437288,0.9698233483308883
22,s,Switch to the right lane when you see the stationary car ahead.,22,1.568557260859708,3.883818791172688,4.31806871605656,3.2568149226963183
22,,Switch to the left lane,22,1.5825092087534574,4.1171368008679305,4.628952599907022,3.4428662031761363
22,,"switch to the left lane, make a left turn. ",22,1.4847127330877237,4.189455496205694,4.681277273550878,3.451815167614765
22,,Take the first left,22,1.3152476962705757,4.019227002088771,4.323087537546277,3.219187411968541
22,s,Switch to the left lane and continue going straight. Then take a left turn.,22,1.4660629922012447,3.911072920860748,4.281516750898065,3.2195508879866863
22,s,slide into the left lane then turn left at the intersection,22,1.4680787232672192,4.193098863548502,4.6356490464963365,3.4322755444373527
23,s,Quickly switch lanes to avoid the car in the road and then continue going straight in the same lane.,23,1.3935139386127675,5.187891761460044,5.775604738770972,4.1190034796145945
23,s,Drive around road blockages,23,1.0401852170146069,4.518293418413949,4.716301830719145,3.4249268220492333
23,s,Go to the left lane after you pass the car,23,1.19495550235322,4.985566869432292,5.426218540277147,3.86891363735422
24,ds,Come to a full stop before entering the intersection. Then merge onto the road if no cars are coming.,24,2.235370643872926,3.035357095358248,5.0245400250661465,3.4317559214324405
24,,"stop at the intersection, then continue going straight",24,2.9664301004115794,3.64268694102496,5.924779609474844,4.177965550303795
24,d,Continue going straight and merge onto the upcoming lane. Watch out for people crossing.,24,2.6251883972914016,3.293139368557753,5.394806123517553,3.771044629788902
24,d,"stop for incoming traffic, if clear continue straight. ",24,2.236770289266276,3.035957732081937,4.978997115988034,3.417241712445416
25,d,Wait for the person and car to cross. Then take a right turn.,25,0.4968347912435854,0.9135457180245858,1.375660741662839,0.9286804169770034
25,d,turn right after the pedestrian finishes crossing,25,0.4968347912435854,0.9127316207120708,1.3715920916490068,0.9270528345348876
25,d,"Wait for the person to cross the street and for the car to pass through the intersection, then turn right.",25,0.4968347912435854,0.9140019355852472,1.3822545259148988,0.931030417581244
25,d,"stop for incoming traffic and pedestrians, once clear move straight. ",25,0.4968347912435854,0.9127316207120708,1.353654231143667,0.9210735476997745
26,s,Quickly change lanes to avoid the car then get back to the left lane and continue going straight. Slow down behind the person in the motorcycle.,26,1.1337749258709844,3.420422088028084,3.794318103083544,2.782838372327537
26,d,"Go on the right side of the car that is partially blocking the lane, then proceed back onto the left lane.",26,1.2389222612229942,3.523591067761964,3.977679888770147,2.913397739251701
26,s,"Drive around the vehicles blocking the road, come to a complete stop behind stop vehicle. ",26,0.8316120211282494,3.112159479505746,3.2948289630822583,2.4128668212387514
26,s,swerve around the parked cars,26,0.9441576921767588,3.321940562059399,3.592097916681828,2.619398723639329
27,d,once vehicle begins to move turn to the right,27,2.0756036507502733,5.222979477009003,6.718364853900132,4.672315993886469
27,s,Turn to the far right lane,27,4.515750674769799,7.359811816731603,9.910508960325172,7.262023817275524
27,d,"when the bike moves out of the way, turn right at the intersection",27,2.795506456951229,5.981033428310583,7.928017561228406,5.568185815496739
27,d,Wait for the motorcycle person to pass and then take a right turn and go straight.,27,2.274209344139874,5.432869559479175,7.033993935347967,4.913690946322339
28,sd,Drive around the road obstruction.,28,1.3520764186341565,2.923566699879528,3.813133228029332,2.696258782181006
28,s,"Switch partially to the right lane before reaching the car in front, and then stop at the stoplight.",28,1.0395387150543782,2.328214416889693,2.9693403897968027,2.112364507246958
28,s,Switch lanes and then go back to the orginal lane. Then wait at the stop lights. Wait for the people crossing.,28,1.0748327541592622,2.4069789912014143,3.1870236241011822,2.222945123153953
28,s,swerve around the parked cars then stop at the intersection,28,1.1642334330133943,2.545029261230579,3.180984672121207,2.2967491221217267
29,,Just wait for the lights.,29,2.971046320694777e-05,4.482595500900722e-05,5.732163418593889e-05,4.395268413396463e-05
30,,Go straight on the lane. Then wait for a little bit before taking a left.,30,1.0820689846274396,2.531031194847511,2.6436187245044054,2.085572967993119
30,,Turn left slowly at the intersection,30,0.9172029384568546,2.6223114651992048,2.740861536549932,2.09345864673533
30,s,stop at the intersections,30,1.2102800149603663,2.989140908470006,3.163049203803219,2.454156709077864
30,d,turn to the right once traffic is clear,30,1.4058343824811683,3.1185027075478584,3.587930772003264,2.7040892873440967
31,,Follow the current lane.,31,1.719826567011896,4.484870940119782,6.267817300872752,4.157504936001477
32,,Take a left turn and merge onto the new road. Then continue on the new lane.,32,1.967546092586616,3.9097713438094734,5.381534094008551,3.75295051013488
32,d,"turn left, turn left again. ",32,1.8874409929487552,3.7572347356185936,5.224345535950151,3.6230070881725
32,,turn left,2,1.8057551074283016,4.234020381573412,5.393727931801111,3.811167806934275
32,,Take the very first left,32,1.802564811725355,3.8094392112929554,5.219542742978757,3.6105155886656894
33,d,Slow down when you are close to the large vehicle in front.,33,1.5636060788871278,4.343601447134529,4.21760177623397,3.374936434085209
33,d,Continue going on the same lane. Slow down for the bust in front.,33,1.2484724636002418,3.876768443326089,3.463423711194114,2.8628882060401484
34,s,"Slightly go on the right lane, across the double marked lines, to avoid hitting the truck in front, then go back to the left lane.",34,1.663776956164071,3.6868618292510447,4.285830329342842,3.2121563715859858
34,s,Drive around the road obstruction,11,0.9684674929782292,3.0655807998208555,3.441830654710759,2.491959649169948
34,s,Continue on the same lane. Move to the next lane to avoid the truck and then get back onto the previous lane.,34,1.7422225710467814,3.665998724692489,4.30738224798701,3.238534514575427
35,,Continue straight on the same lane.,35,2.0063323814126703,4.375828774006204,4.927040788043536,3.7697339811541366
36,,Continue on the same lane.,36,0.9220565450143304,4.167152806936925,3.498602510567692,2.8626039541729824
36,s,follow the road,36,0.955212723858802,4.137661264750944,3.5056804972533087,2.866184828621018
38,sd,"follow the car ahead, avoid and drive around the vehicles on the side of the road",38,1.1397416182780151,4.872747297509393,5.5712485428541445,3.861245819547184
38,s,Drive around the road blockages,38,1.13392629490645,4.678434484840301,5.297706561789288,3.703355780512013
38,s,"After passig the obstruction on the left side of the road, merge back onto the left lane",38,1.189463906480752,4.864084466673248,5.533138164135261,3.862228845763087
38,d,Follow the gray car.,38,1.164036121686478,4.901806567508519,5.589147565244699,3.8849967514798975
38,s,Split the lane to avoid the trucks on the side of the road.,38,1.1306047130967614,4.689784224527158,5.304099956120059,3.708162964581326
39,,Continue straight,39,1.2005543419040845,4.721470015281449,4.385354629874259,3.4357929956865974
41,s,turn left at the intersection and merge onto the far right lane,41,2.116389096643015,4.402773088067312,5.842104510613207,4.120422231774511
41,s,"turn left, switch lanes all the way to right, stop behind the car",41,2.089199275332788,4.4467814851653,5.992320145313147,4.176100301937079
41,s,"turn left at the intersection, then slide into the right most lane, then stop at the intersection",41,2.03350637687739,4.218082686774099,5.738376339567607,3.996655134406365
41,s,Turn left onto the leftmost lane,41,1.6962382747184042,3.838184341566373,4.923569731620236,3.4859974493016708
41,s,Switch to the rightmost lane,41,2.0574937736822045,4.293664971780899,5.789571426645515,4.04691005736954
41,s,Take a left turn and the continue going straight. Stop behind the white car.,41,2.177777507850297,4.501169139777163,6.061243607149157,4.246730084925539
42,s,Continue going straight and move slightly right to avoid the truck on your left.,42,1.0980164793182552,4.7902318001397655,4.365218670394616,3.4178223166175457
42,s,Stay on the right side of the lane to avoid hitting the car on your left side of the lane,42,1.123734211999198,4.69345671607517,4.220148371676958,3.345779766583775
42,s,"go straight, move away slightly from parked vehicles ",42,1.1683840307709037,4.661134243703332,4.249576275030439,3.359698183168225
42,s,Go back onto the left lane,42,1.0194429053470375,4.895545991348387,4.448274330816668,3.4544210758373644
42,s,Keep staying on the right side to avoid hitting the second car on the left side of your lane,42,1.100792692554081,4.769712640006134,4.340320406493867,3.4036085796846938
43,s,stop at the intersection,5,1.1106112846947274,2.2598326709361065,2.649545077727301,2.0066630111193784
43,s,Keep going straight and then stop at the stop light.,43,1.6362368985375375,1.826861814403534,2.7068352977811307,2.0566446702407344
43,d,Slow down when you see when group of individuals crossing the street.,43,1.6106258279803345,1.7183263280676924,2.5860785143729794,1.9716768901403352
44,sd,slow down at the intersection and wait for the white truck to turn then continue,44,2.985397355835977,5.563983227105377,7.4187011631225985,5.322693915354651
44,,Keep going straight and follow the same lane.,44,2.989163167797568,4.879067346632203,6.54354528101472,4.803925265148163
44,s,go straight,44,2.8623020140996327,4.850816414687017,6.467439442197707,4.726852623661452
44,d,Slow down when the white truck turns left,44,3.0410100580473225,5.032198179697784,6.7922883232123015,4.955165520319135
45,d,Pass the toll gate when the gate opens,45,2.164099416935239,2.9540323144245377,4.021410973533712,3.046514234964496
45,d,continue forward once gate opens,45,2.097271425692014,2.790491599894642,3.9120781655343055,2.9332803970403205
45,d,Stop at the toll gate once the car ahead passes through it,45,2.058532932047787,2.83946794679551,3.742879096905632,2.8802933252496428
45,s,"stop at the barricade, once the arm is lifted proceed",45,2.510270167729531,3.242702650211553,4.538838265230856,3.4306036943906464
45,sd,Move slowly forward and stop behind the car in front of you. Stop in front of the crossing guard. Move once the crossing guard goes up.,45,2.419627686873978,3.191369329567202,4.468636340289658,3.359877785576946
46,s,stop at the intersection,5,1.1106112846947274,2.2598326709361065,2.649545077727301,2.0066630111193784
47,s,continue straight at the intersection,47,1.3472836396505954,4.2424213553247565,3.9359132947838367,3.1752060965863964
48,sd,Slow down and watch the pedestrian and the turn right and continue going straight,48,2.3767264412656823,4.084874831850659,5.7320917084372045,4.064564327184516
48,s,"at the end of the construction turn right at the intersection, merge onto the left lane",48,1.7557666159385916,3.959675630577564,5.187253728216828,3.634231991577662
48,s,"turn right on the T-junction, then slide into the leftmost lane",48,2.360841421839204,4.174599327804215,5.855352916217703,4.130264555287041
48,,Turn right at the intersection,48,2.0904593731343644,4.158473315323338,5.582173774198854,3.943702154218853
48,d,Slow down when the person crosses the road,48,2.2051111315240592,4.407881774594881,5.987681245425439,4.20022471718146
48,,"make a right turn, switch to the left lane",48,2.1152114996411,3.8882380898444624,5.3874892637800045,3.796979617755189
49,s,Take the very first left and stay on the leftmost lane,49,3.443788183748224,4.369781510851825,6.241662507699266,4.685077400766438
49,,turn left,2,1.8057551074283016,4.234020381573412,5.393727931801111,3.811167806934275
49,s,turn left at the intersection and continue straight ,49,3.0697211124716657,4.347025948148534,5.981115540226034,4.465954200282078
49,s,turn left at the intersection,2,1.7702882633229389,4.183188343848892,5.285939176893825,3.746471928021885
49,s,Keeping going straight then at the next turn take a left,49,3.578702864533224,4.459269596784144,6.31158606646967,4.783186175929013
50,,turn left,2,1.8057551074283016,4.234020381573412,5.393727931801111,3.811167806934275
50,s,take the next left turn,50,2.2832436387375714,4.191180241332674,5.455497150904613,3.976640343658286
50,,Take the very first left and go straight,50,2.297022483208343,4.117604067271466,5.381450797799611,3.932025782759807
50,s,turn right at the intersection,50,2.261853483764825,4.128195163451462,5.3662636627521145,3.918770769989468
50,s,Keep going straight and then take the first left,50,2.4204270967468475,4.37372797487408,5.574576273893378,4.1229104485047685
51,s,Stop right before the intersection,51,3.719558129089714,3.972570948814191,5.995589901609822,4.562572993171242
51,sd,drive around the parked cars on the left and continue straight,51,4.065994978713353,4.309618825724552,6.2994634165793455,4.89169240700575
51,s,"swerve around the parked cars then stop at the intersection, then move forward",51,3.165915350018622,3.398530759969905,5.027329443353496,3.863925184447341
51,s,Switch lanes temporarily and then go back to the left lane and wait,51,4.160683012568652,4.271830586864883,6.390132086995052,4.940881895476196
51,s,"Drive around road blockages, come to a complete stop then continue straight. ",51,3.119354274305792,3.756699315761424,5.207913373012708,4.027988987693308
51,s,"Go on the right side of the parked cars, then go back to the lane once it's clear",51,2.93609693906642,3.109103858248548,4.551796942767877,3.532332580027615
52,s,turn left  at the intersection,52,2.9233494633752626,6.117127623279969,7.979447058995047,5.673308048550093
52,sd,"slow down as you approach the white car and continue along the road driving around any parked cars , take a left at the end of the road",52,2.535767313113064,5.649214776153388,7.181435967453321,5.122139352239924
52,s,"Stay in the middle of the road to avoid the vehicle on the left and right side of the road, then go back on the left side.",52,2.4732082701282865,5.757502108692143,7.132503700834657,5.121071359885029
52,sd,"slow down for incoming vehicle, avoid road obstruction, come to a complete stop then turn left. ",52,2.3246854712490723,5.383681843931768,6.852583815122742,4.8536503767678605
52,ds,Turn left at the intersection,52,2.51587563866313,5.658032729030706,7.179092250857846,5.1176668728505605
52,d,Stay on the left side of the car approaching you,52,2.623823477372934,5.844135607042686,7.511460364485775,5.326473149633799
52,sd,Slow down and avoid the white car. Switch lanes to avoid the car in front and then take a left turn at the end of the street,52,2.491679051581265,5.707044408438753,7.246609370588244,5.14844427686942
53,d,follow the white sedan ahead of you in your lane,53,0.9494198508278408,5.796403044756893,6.248539986626503,4.331454294070412
54,s,"turn left, avoid road obstruction",54,0.72085087859833,4.665366368314465,5.26089604469007,3.5490377638676214
54,,Make a left turn,54,0.7360574985338388,4.608907555799985,5.189029539038546,3.511331531124123
54,sd,Take a left turn and aviad the cars and trucks  to the left. Split the lane until the trucks clear up.,54,0.7722199183512488,4.549637117618521,5.169092963458493,3.4969833331427544
54,s,turn right at the intersection,50,2.261853483764825,4.128195163451462,5.3662636627521145,3.918770769989468
54,sd,turn left at the end of the intersection and drive around avoiding parked trucks on the road,54,0.7810431880181791,4.604751267806389,5.226753684679229,3.537516046834599
54,s,"Stay in the middle of the lane to avoid the vehicles on the left and right sides of the road, but then proceed to switching to the left lanes ones the cars on the left clear.",54,0.6632022666921785,4.590036506043833,5.107967731248663,3.453735501328225
55,d,follow the gray car ahead and turn right at the same intersection as it,55,1.147208653150719,5.251463577643735,5.501219705303115,3.9666306453658566
56,d,Take the right turn that the grey vehicle in front of you takes.,56,2.2034296333175685,3.940447070575619,5.202022281292063,3.781966328395084
56,,turn right,56,2.251230024150528,3.992143915668599,5.343438918285308,3.862270952701478
56,,Follow the road.,56,2.32428808179962,4.25983423256978,5.6725902635321725,4.085570859300524
56,s,"turn left, then turn right at the intersection",56,2.520958154816666,4.262979259068784,5.752095709274289,4.178677707719913
56,s,Continue going straight and then take the first right turn when available,56,2.307175610719689,3.910470248674885,5.177268126781011,3.798304662058528
57,,switch to the left lane,10,1.1508737457989289,5.132813244366229,5.166585081641236,3.8167573572688
57,d,"Go straight, even once you see the individual crossing the crosswalk. Once passed the crosswalk, switch to the left lane.",57,0.973464189196263,5.111130326892102,4.995141864702207,3.693245460263524
57,s,"turn right, then slide into the left lane",57,0.984437340362486,5.018035043583763,4.9048280460614935,3.635766810002581
57,s,Take a right turn and then continue going straight.,57,1.040029310929315,5.180376645093294,5.291010588545352,3.837138848189321
58,s,Keep going straight and then switch to the left lane and take a left.,58,3.119114308446893,3.848153277767422,5.870360865877768,4.279209484030695
58,,turn left at the intersection ,2,1.7702882633229389,4.183188343848892,5.285939176893825,3.746471928021885
58,s,Switch to the left lane once passing the parked vehicles that are on the left lane. Then take the first left,58,3.064836384424068,3.88980375211376,5.856734941844827,4.270458359460885
58,,"switch to the left lane, turn left",58,3.353069698743881,4.085508649660855,6.348099646617872,4.5955593316742025
58,s,slide into the left lane then turn left.,58,3.1638127246217995,3.891029703026481,6.053810841385356,4.369551089677879
60,,wait for the prius to move forward,60,1.2143704928440703e-06,1.48886580767099e-06,1.6116694381723992e-06,1.4383019128958195e-06
60,d,Start moving forward slowly when the vehicle in front of you starts to move.,60,1.2143704928440703e-06,1.48886580767099e-06,1.6116694381723992e-06,1.4383019128958195e-06
61,,turn left follow the white van,61,1.7583201061617622,1.6669905158662115,2.5161976423856967,1.9805027548045568
61,s,Take the left turn and merge on to the road.,61,2.093385797955214,1.9026860332740911,2.9404973514610213,2.312189727563442
61,d,Follow the white van.,61,2.1097843792964297,1.994690660766078,2.9993030436676653,2.3679260279100576
61,,turn left,2,1.8057551074283016,4.234020381573412,5.393727931801111,3.811167806934275
61,s,slide into the left turing lane then turn left,61,2.0544402078154533,1.697254777384264,2.704930315060201,2.152208433419973
61,d,Follow the vehicle in front of you.,61,1.8986705506565769,1.7151079646337832,2.5875334476331955,2.0671039876411847
61,,Switch to the left lane.,61,1.9998085797934613,1.690840959966605,2.652878353095051,2.1145092976183726
62,,side to the left lane,62,1.1454162078942485,3.7928433334359126,3.675422584175813,2.8712273751686577
62,,switch to the left lane,10,1.1508737457989289,5.132813244366229,5.166585081641236,3.8167573572688
62,,merge one lane over to the left,62,1.2289784912508706,3.805297594298312,3.735976058474813,2.923417381341332
62,s,Keep going straight and then switch to the left lane,62,0.9856583582300378,3.4071785133458787,3.130107937964388,2.507648269846768
63,d,Follow the vehicle in front of you.,61,1.8986705506565769,1.7151079646337832,2.5875334476331955,2.0671039876411847
63,s,Stop right before the intersection.,63,2.5586281588553503,3.0623690443479203,4.405055042011679,3.3420174150716497
63,,"slow down and stop, once road is clear continue straight. ",63,2.585002762236423,3.0021565386241384,4.225700782966571,3.2709533612757107
63,,stop at the intersection then proceed with caution,63,2.3497695418235955,3.046438771128249,4.122183951608816,3.17279742152022
65,s,turn right at the intersection,50,2.261853483764825,4.128195163451462,5.3662636627521145,3.918770769989468
65,,turn right,56,2.251230024150528,3.992143915668599,5.343438918285308,3.862270952701478
65,,take a right here and continue straight,65,2.0445145463684606,5.755361920006821,7.226829578850351,5.00890201507521
65,,Make a right turn and go straight,65,1.823304437470577,5.460137545136118,6.72248972496231,4.6686439025230015
65,s,Take the right turn and then keep going straight.,65,1.699197849992328,5.359716075166372,6.510777795293633,4.523230573484111
66,d,"Slowly move forward when there are no cars approaching from behind, but stop once cars are nearby.",66,0.7654234147330874,1.11188967845442,1.6532137658766557,1.176842286354721
66,d,check for incoming vehicles on left lane,66,2.672414948547193,2.947247167897914,4.443750584767848,3.3544709004043187
66,d,wait until there are no vehicles approaching from behind ,66,2.6465753370687883,2.854265495690922,4.061135012781493,3.187325281847068
67,d,Switch to the left lane once it is clear.,67,2.5102331906051134,3.80724965543441,5.359365676554771,3.8922828408647647
67,s,slide into the left lane,67,2.4760232945551177,3.7469434552735095,5.290271491854304,3.837746080560977
67,sd,Switch to the left lane and then keep going straight. Stop for the pedestrian. Then continue going straight.,67,2.412501731669771,3.7082968002773606,5.1452681310567545,3.755355554334629
67,d,"switch to left lane, stop for incoming pedestrian, once clear continue straight. ",67,3.0064121991040382,4.325387262586887,6.083686262630473,4.4718285747738
